IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,11766,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-18T17:55:47.594+02:00,2025-08-18T17:55:47.631+02:00
6,10.215.173.1,57186,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1380,7630,9,9,2025-08-18T17:55:47.650+02:00,2025-08-18T17:56:48.179+02:00
17,10.215.173.1,65103,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-18T17:55:49.052+02:00,2025-08-18T17:55:49.067+02:00
6,10.215.173.1,60944,52.48.27.121,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1368,7267,11,11,2025-08-18T17:55:49.075+02:00,2025-08-18T17:55:49.422+02:00
17,10.215.173.1,25048,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-18T17:55:49.081+02:00,2025-08-18T17:55:49.104+02:00
6,10.215.173.1,39500,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Zamknij,z-m-gateway.facebook.com,2825,4309,18,12,2025-08-18T17:55:49.109+02:00,2025-08-18T17:57:49.051+02:00
6,10.215.173.1,37616,99.81.66.188,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,752,4,4,2025-08-18T17:55:49.386+02:00,2025-08-18T17:56:53.178+02:00
6,10.215.173.1,54244,185.60.217.63,443,10542,Instagram,com.instagram.android,HTTPS,Zamknij,i.instagram.com,596,420,5,5,2025-08-18T17:56:33.032+02:00,2025-08-18T17:56:33.189+02:00
17,10.215.173.1,2253,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,i.instagram.com,61,106,1,1,2025-08-18T17:56:33.036+02:00,2025-08-18T17:56:33.155+02:00
17,10.215.173.1,51618,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,240785,1172359,622,1402,2025-08-18T17:56:33.043+02:00,2025-08-18T17:58:22.943+02:00
17,10.215.173.1,56020,185.60.217.3,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,,44113,27139,142,166,2025-08-18T17:56:33.460+02:00,2025-08-18T17:59:04.531+02:00
17,10.215.173.1,3724,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,gateway.instagram.com,67,115,1,1,2025-08-18T17:56:33.472+02:00,2025-08-18T17:56:33.564+02:00
17,10.215.173.1,53304,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Nieosiągalny,i.instagram.com,172976,26552653,1014,21519,2025-08-18T17:56:33.927+02:00,2025-08-18T17:58:58.173+02:00
17,10.215.173.1,56444,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,scontent-ber1-1.cdninstagram.com,78,94,1,1,2025-08-18T17:56:33.951+02:00,2025-08-18T17:56:33.982+02:00
6,10.215.173.1,49592,185.60.217.13,443,10542,Instagram,com.instagram.android,HTTPS,Błąd,edge-mqtt.facebook.com,3490,3149,22,21,2025-08-18T17:56:34.526+02:00,2025-08-18T17:58:55.887+02:00
17,10.215.173.1,63957,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,edge-mqtt.facebook.com,68,108,1,1,2025-08-18T17:56:34.537+02:00,2025-08-18T17:56:34.561+02:00
6,10.215.173.1,52632,157.240.210.23,443,10274,Facebook,com.facebook.katana,HTTPS,Zamknij,edge-mqtt-fallback.facebook.com,2643,991,16,11,2025-08-18T17:56:38.770+02:00,2025-08-18T17:56:49.973+02:00
17,10.215.173.1,11160,10.215.173.2,53,10274,Facebook,com.facebook.katana,DNS,Zamknij,edge-mqtt-fallback.facebook.com,77,126,1,1,2025-08-18T17:56:38.795+02:00,2025-08-18T17:56:38.890+02:00
17,10.215.173.1,21864,10.215.173.2,53,10274,Facebook,com.facebook.katana,DNS,Zamknij,chat-e2ee-mini.facebook.com,73,123,1,1,2025-08-18T17:56:38.857+02:00,2025-08-18T17:56:38.895+02:00
6,10.215.173.1,52362,185.60.217.33,5222,10274,Facebook,com.facebook.katana,TCP,Zamknij,,2798,819,14,13,2025-08-18T17:56:38.881+02:00,2025-08-18T17:56:49.973+02:00
6,10.215.173.1,56472,185.60.217.175,5222,10542,Instagram,com.instagram.android,TCP,Zamknij,,5044,1061,28,18,2025-08-18T17:56:39.293+02:00,2025-08-18T17:57:43.869+02:00
17,10.215.173.1,32512,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,z-p42-chat-e2ee-ig.facebook.com,77,129,1,1,2025-08-18T17:56:39.302+02:00,2025-08-18T17:56:39.329+02:00
17,10.215.173.1,60565,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,graph.instagram.com,65,110,1,1,2025-08-18T17:56:40.427+02:00,2025-08-18T17:56:40.463+02:00
17,10.215.173.1,49975,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,scontent-ber1-1.cdninstagram.com,132529,6881,125,40,2025-08-18T17:56:40.442+02:00,2025-08-18T17:57:37.558+02:00
17,10.215.173.1,52447,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play.googleapis.com,65,129,1,1,2025-08-18T17:56:42.486+02:00,2025-08-18T17:56:42.537+02:00
6,10.215.173.1,49788,216.239.38.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,3523,6537,14,14,2025-08-18T17:56:42.550+02:00,2025-08-18T17:56:42.900+02:00
17,10.215.173.1,10490,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,static.xx.fbcdn.net,65,104,1,1,2025-08-18T17:56:43.579+02:00,2025-08-18T17:56:43.601+02:00
17,10.215.173.1,37243,185.60.217.28,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,2757,9821,7,15,2025-08-18T17:56:43.587+02:00,2025-08-18T17:56:43.718+02:00
17,10.215.173.1,54475,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,5008,2970,9,10,2025-08-18T17:56:48.127+02:00,2025-08-18T17:56:48.368+02:00
17,10.215.173.1,33725,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,graph.facebook.com,64,104,1,1,2025-08-18T17:56:48.130+02:00,2025-08-18T17:56:48.178+02:00
17,10.215.173.1,58306,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-18T17:56:53.198+02:00,2025-08-18T17:56:53.219+02:00
6,10.215.173.1,60860,52.48.27.121,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1368,7266,11,11,2025-08-18T17:56:53.244+02:00,2025-08-18T17:56:53.568+02:00
6,10.215.173.1,40658,99.81.66.188,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,752,4,4,2025-08-18T17:56:53.510+02:00,2025-08-18T17:57:54.202+02:00
17,10.215.173.1,11461,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-18T17:56:58.226+02:00,2025-08-18T17:56:58.258+02:00
