IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,50554,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-24T13:22:57.531+02:00,2025-08-24T13:22:57.545+02:00
6,10.215.173.1,34670,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1534,9389,11,10,2025-08-24T13:22:57.550+02:00,2025-08-24T13:24:19.055+02:00
17,10.215.173.1,32552,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T13:22:57.647+02:00,2025-08-24T13:22:57.658+02:00
6,10.215.173.1,36288,52.214.10.134,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1329,7227,10,10,2025-08-24T13:22:57.670+02:00,2025-08-24T13:22:57.942+02:00
6,10.215.173.1,50038,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,820,768,5,4,2025-08-24T13:22:57.892+02:00,2025-08-24T13:23:58.821+02:00
17,10.215.173.1,41684,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-24T13:22:58.930+02:00,2025-08-24T13:22:59.067+02:00
6,10.215.173.1,57058,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Zamknij,z-m-gateway.facebook.com,2772,4432,16,15,2025-08-24T13:22:59.072+02:00,2025-08-24T13:23:58.821+02:00
17,10.215.173.1,46107,10.215.173.2,53,10138,Ekran startowy One UI,com.sec.android.app.launcher,DNS,Zamknij,www.google.com,60,76,1,1,2025-08-24T13:23:01.310+02:00,2025-08-24T13:23:01.458+02:00
6,10.215.173.1,36004,142.250.186.196,443,10138,Ekran startowy One UI,com.sec.android.app.launcher,HTTPS,Zamknij,www.google.com,2298,4892,16,15,2025-08-24T13:23:01.463+02:00,2025-08-24T13:24:03.959+02:00
17,10.215.173.1,50106,10.215.173.2,53,10318,mObywatel,pl.nask.mobywatel,DNS,Zamknij,sentry.puch.coi.gov.pl,68,84,1,1,2025-08-24T13:23:03.750+02:00,2025-08-24T13:23:03.774+02:00
6,10.215.173.1,59212,185.32.48.239,3000,10318,mObywatel,pl.nask.mobywatel,TLS,Zamknij,sentry.puch.coi.gov.pl,2107,5902,12,11,2025-08-24T13:23:03.778+02:00,2025-08-24T13:23:04.932+02:00
17,10.215.173.1,63388,10.215.173.2,53,10318,mObywatel,pl.nask.mobywatel,DNS,Zamknij,api.mobywatel.gov.pl,66,82,1,1,2025-08-24T13:23:03.991+02:00,2025-08-24T13:23:04.002+02:00
6,10.215.173.1,51870,185.41.93.206,443,10318,mObywatel,pl.nask.mobywatel,HTTPS,Błąd,api.mobywatel.gov.pl,44555,116744,74,78,2025-08-24T13:23:04.015+02:00,2025-08-24T13:25:05.381+02:00
17,10.215.173.1,55832,10.215.173.2,53,10318,mObywatel,pl.nask.mobywatel,DNS,Zamknij,www.gstatic.com,61,77,1,1,2025-08-24T13:23:04.497+02:00,2025-08-24T13:23:04.638+02:00
6,10.215.173.1,37136,142.250.203.195,80,10318,mObywatel,pl.nask.mobywatel,HTTP,Zamknij,www.gstatic.com,630,8157,5,5,2025-08-24T13:23:04.642+02:00,2025-08-24T13:24:03.959+02:00
6,10.215.173.1,59218,185.32.48.239,3000,10318,mObywatel,pl.nask.mobywatel,TLS,Błąd,sentry.puch.coi.gov.pl,2189,1345,11,9,2025-08-24T13:23:04.940+02:00,2025-08-24T13:23:04.997+02:00
6,10.215.173.1,59224,185.32.48.239,3000,10318,mObywatel,pl.nask.mobywatel,TLS,Zamknij,sentry.puch.coi.gov.pl,2131,1345,11,9,2025-08-24T13:23:04.999+02:00,2025-08-24T13:23:05.066+02:00
6,10.215.173.1,59234,185.32.48.239,3000,10318,mObywatel,pl.nask.mobywatel,TLS,Zamknij,sentry.puch.coi.gov.pl,7375,1425,11,10,2025-08-24T13:23:05.073+02:00,2025-08-24T13:23:05.136+02:00
17,10.215.173.1,60293,10.215.173.2,53,10028,PCAPdroid,com.emanuelef.remote_capture,DNS,Zamknij,firebaselogging.googleapis.com,76,188,1,1,2025-08-24T13:23:09.504+02:00,2025-08-24T13:23:09.519+02:00
6,10.215.173.1,33500,142.250.203.202,443,10028,PCAPdroid,com.emanuelef.remote_capture,HTTPS,Zamknij,firebaselogging.googleapis.com,1967,5172,9,8,2025-08-24T13:23:09.523+02:00,2025-08-24T13:24:08.977+02:00
17,10.215.173.1,6375,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play-fe.googleapis.com,68,84,1,1,2025-08-24T13:23:11.152+02:00,2025-08-24T13:23:11.165+02:00
17,10.215.173.1,45492,172.217.16.46,443,10233,Sklep Google Play,com.android.vending,QUIC,Zamknij,play-fe.googleapis.com,25787,8639,28,24,2025-08-24T13:23:11.171+02:00,2025-08-24T13:23:11.634+02:00
17,10.215.173.1,55105,10.215.173.2,53,10239,Google,com.google.android.googlequicksearchbox,DNS,Zamknij,www.google.com,60,76,1,1,2025-08-24T13:23:17.542+02:00,2025-08-24T13:23:17.559+02:00
17,10.215.173.1,50157,142.250.186.196,443,10239,Google,com.google.android.googlequicksearchbox,QUIC,Zamknij,www.google.com,8953,5485,13,16,2025-08-24T13:23:17.567+02:00,2025-08-24T13:23:17.758+02:00
6,10.215.173.1,60660,142.250.186.196,443,10239,Google,com.google.android.googlequicksearchbox,HTTPS,Zamknij,www.google.com,2250,4366,10,7,2025-08-24T13:23:17.572+02:00,2025-08-24T13:23:27.711+02:00
6,10.215.173.1,56376,185.60.217.63,443,10542,Instagram,com.instagram.android,HTTPS,Błąd,i.instagram.com,3850,6147,22,18,2025-08-24T13:23:20.935+02:00,2025-08-24T13:23:24.255+02:00
6,10.215.173.1,56380,185.60.217.63,443,10542,Instagram,com.instagram.android,HTTPS,Zamknij,i.instagram.com,4692,7121,24,20,2025-08-24T13:23:21.012+02:00,2025-08-24T13:23:24.290+02:00
6,10.215.173.1,46186,185.60.217.13,443,10542,Instagram,com.instagram.android,HTTPS,Zamknij,edge-mqtt.facebook.com,2864,1030,11,10,2025-08-24T13:23:22.310+02:00,2025-08-24T13:24:24.117+02:00
17,10.215.173.1,54836,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,edge-mqtt.facebook.com,68,108,1,1,2025-08-24T13:23:22.312+02:00,2025-08-24T13:23:22.334+02:00
17,10.215.173.1,4142,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,gateway.instagram.com,67,115,1,1,2025-08-24T13:23:22.315+02:00,2025-08-24T13:23:22.334+02:00
17,10.215.173.1,35570,185.60.217.3,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,5904,3973,24,27,2025-08-24T13:23:22.316+02:00,2025-08-24T13:24:14.521+02:00
17,10.215.173.1,5942,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,i.instagram.com,61,106,1,1,2025-08-24T13:23:24.003+02:00,2025-08-24T13:23:24.062+02:00
17,10.215.173.1,49589,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,4753,9241,12,18,2025-08-24T13:23:24.008+02:00,2025-08-24T13:23:25.702+02:00
6,10.215.173.1,56388,185.60.217.63,443,10542,Instagram,com.instagram.android,TLS,Zamknij,i.instagram.com,100,88,2,2,2025-08-24T13:23:24.081+02:00,2025-08-24T13:23:24.108+02:00
17,10.215.173.1,2215,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,graph.facebook.com,64,104,1,1,2025-08-24T13:23:34.989+02:00,2025-08-24T13:23:35.022+02:00
17,10.215.173.1,42163,185.60.217.20,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,3953,2969,7,10,2025-08-24T13:23:35.004+02:00,2025-08-24T13:23:35.206+02:00
17,10.215.173.1,48312,185.60.217.20,443,10303,Messenger,com.facebook.orca,QUIC,Zamknij,graph.facebook.com,3316,3631,10,12,2025-08-24T13:23:45.621+02:00,2025-08-24T13:23:45.870+02:00
6,10.215.173.1,56272,185.60.217.54,5222,10210,WhatsApp,com.whatsapp,TCP,Zamknij,,1686,1477,16,15,2025-08-24T13:23:46.006+02:00,2025-08-24T13:23:51.628+02:00
17,10.215.173.1,64835,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T13:24:00.172+02:00,2025-08-24T13:24:00.187+02:00
6,10.215.173.1,36208,52.214.10.134,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1369,7268,11,11,2025-08-24T13:24:00.195+02:00,2025-08-24T13:24:00.630+02:00
17,10.215.173.1,41136,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-24T13:24:00.352+02:00,2025-08-24T13:24:00.368+02:00
6,10.215.173.1,40464,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Błąd,z-m-gateway.facebook.com,2942,4375,18,12,2025-08-24T13:24:00.375+02:00,2025-08-24T13:25:05.382+02:00
6,10.215.173.1,45518,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,820,768,5,4,2025-08-24T13:24:00.578+02:00,2025-08-24T13:24:59.796+02:00
17,10.215.173.1,1133,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play.googleapis.com,65,129,1,1,2025-08-24T13:24:04.330+02:00,2025-08-24T13:24:04.346+02:00
6,10.215.173.1,37932,216.239.32.223,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play.googleapis.com,4704,6561,14,13,2025-08-24T13:24:04.351+02:00,2025-08-24T13:24:04.717+02:00
17,10.215.173.1,15122,10.215.173.2,53,10318,mObywatel,pl.nask.mobywatel,DNS,Zamknij,api.mobywatel.gov.pl,66,82,1,1,2025-08-24T13:24:14.687+02:00,2025-08-24T13:24:14.697+02:00
6,10.215.173.1,50690,185.41.93.206,443,10318,mObywatel,pl.nask.mobywatel,HTTPS,Błąd,api.mobywatel.gov.pl,2720,15963,10,9,2025-08-24T13:24:14.701+02:00,2025-08-24T13:25:05.381+02:00
17,10.215.173.1,49589,185.60.217.63,443,10542,Instagram,com.instagram.android,UDP,Zamknij,i.instagram.com,163,66,2,1,2025-08-24T13:24:16.719+02:00,2025-08-24T13:24:17.050+02:00
17,10.215.173.1,33813,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,i.instagram.com,3473,5062,7,11,2025-08-24T13:24:20.081+02:00,2025-08-24T13:24:20.344+02:00
17,10.215.173.1,38539,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,i.instagram.com,8368,3033,12,10,2025-08-24T13:24:21.526+02:00,2025-08-24T13:24:21.862+02:00
17,10.215.173.1,9871,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,graph.instagram.com,65,110,1,1,2025-08-24T13:24:21.529+02:00,2025-08-24T13:24:21.591+02:00
6,10.215.173.1,48216,185.60.217.13,443,10542,Instagram,com.instagram.android,HTTPS,Zamknij,edge-mqtt.facebook.com,2837,1043,12,11,2025-08-24T13:24:24.145+02:00,2025-08-24T13:24:37.198+02:00
17,10.215.173.1,47584,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,edge-mqtt.facebook.com,68,108,1,1,2025-08-24T13:24:24.147+02:00,2025-08-24T13:24:24.158+02:00
17,10.215.173.1,42163,185.60.217.20,443,10542,Instagram,com.instagram.android,UDP,Zamknij,graph.facebook.com,163,66,2,1,2025-08-24T13:24:26.210+02:00,2025-08-24T13:24:26.399+02:00
6,10.215.173.1,47970,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Błąd,mtalk.google.com,1389,1184,8,8,2025-08-24T13:24:33.086+02:00,2025-08-24T13:25:05.382+02:00
17,10.215.173.1,47288,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T13:25:00.835+02:00,2025-08-24T13:25:00.849+02:00
6,10.215.173.1,36232,54.76.143.8,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1367,7269,11,11,2025-08-24T13:25:00.858+02:00,2025-08-24T13:25:01.146+02:00
6,10.215.173.1,54630,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Błąd,,820,768,5,4,2025-08-24T13:25:01.090+02:00,2025-08-24T13:25:05.382+02:00
6,10.215.173.1,54908,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TCP,Nieosiągalny,mtalk.google.com,60,40,1,1,2025-08-24T13:25:05.510+02:00,2025-08-24T13:25:05.520+02:00
6,10.215.173.1,54908,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TCP,Nieosiągalny,mtalk.google.com,60,40,1,1,2025-08-24T13:25:06.517+02:00,2025-08-24T13:25:06.519+02:00
17,10.215.173.1,1218,10.215.173.2,53,10210,WhatsApp,com.whatsapp,DNS,Nieosiągalny,g.whatsapp.net,0,0,0,0,2025-08-24T13:25:06.686+02:00,2025-08-24T13:25:06.686+02:00
6,10.215.173.1,54908,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TCP,Nieosiągalny,mtalk.google.com,60,40,1,1,2025-08-24T13:25:08.535+02:00,2025-08-24T13:25:08.537+02:00
17,10.215.173.1,1218,10.215.173.2,53,10210,WhatsApp,com.whatsapp,DNS,Nieosiągalny,g.whatsapp.net,0,0,0,0,2025-08-24T13:25:09.690+02:00,2025-08-24T13:25:09.690+02:00
6,10.215.173.1,54908,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TCP,Nieosiągalny,mtalk.google.com,60,40,1,1,2025-08-24T13:25:12.596+02:00,2025-08-24T13:25:12.598+02:00
