IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,58489,10.215.173.2,53,10274,Facebook,com.facebook.katana,DNS,Zamknij,chat-e2ee-mini.facebook.com,73,123,1,1,2025-08-23T17:51:56.575+02:00,2025-08-23T17:51:56.649+02:00
6,10.215.173.1,45244,185.60.217.33,5222,10274,Facebook,com.facebook.katana,TCP,Zamknij,,2790,739,14,11,2025-08-23T17:51:56.603+02:00,2025-08-23T17:52:00.221+02:00
17,10.215.173.1,61795,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,edge-mqtt.facebook.com,68,108,1,1,2025-08-23T17:51:56.640+02:00,2025-08-23T17:51:56.661+02:00
17,10.215.173.1,43234,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-23T17:51:56.642+02:00,2025-08-23T17:51:56.686+02:00
6,10.215.173.1,51270,185.60.217.13,443,10542,Instagram,com.instagram.android,HTTPS,Zamknij,edge-mqtt.facebook.com,2796,964,11,9,2025-08-23T17:51:56.645+02:00,2025-08-23T17:52:52.649+02:00
6,10.215.173.1,51284,185.60.217.13,443,10303,Messenger,com.facebook.orca,HTTPS,Zamknij,edge-mqtt.facebook.com,2009,738,9,8,2025-08-23T17:51:56.684+02:00,2025-08-23T17:52:00.227+02:00
6,10.215.173.1,56402,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1479,1682,10,10,2025-08-23T17:51:56.693+02:00,2025-08-23T17:53:38.227+02:00
17,10.215.173.1,62258,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,chat-e2ee.facebook.com,68,113,1,1,2025-08-23T17:51:56.818+02:00,2025-08-23T17:51:56.840+02:00
6,10.215.173.1,33404,185.60.217.29,5222,10303,Messenger,com.facebook.orca,TCP,Zamknij,,3003,1033,16,15,2025-08-23T17:51:56.820+02:00,2025-08-23T17:52:00.227+02:00
6,10.215.173.1,49442,185.60.217.33,443,-1,Nieznany,unknown,TLS,Zamknij,chat-e2ee-mini.facebook.com,100,88,2,2,2025-08-23T17:51:56.830+02:00,2025-08-23T17:51:56.850+02:00
6,10.215.173.1,51298,185.60.217.13,443,10274,Facebook,com.facebook.katana,HTTPS,Zamknij,edge-mqtt.facebook.com,3232,3988,29,26,2025-08-23T17:51:56.836+02:00,2025-08-23T17:52:00.222+02:00
17,10.110.10.69,42298,172.217.16.46,443,10233,Sklep Google Play,com.android.vending,UDP,Zamknij,,63,52,1,1,2025-08-23T17:51:56.885+02:00,2025-08-23T17:51:56.932+02:00
17,10.215.173.1,4967,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-23T17:51:57.944+02:00,2025-08-23T17:51:57.981+02:00
6,10.215.173.1,47024,46.137.163.97,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1369,7269,11,11,2025-08-23T17:51:58.012+02:00,2025-08-23T17:51:58.348+02:00
17,10.215.173.1,59630,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-23T17:51:58.198+02:00,2025-08-23T17:51:58.223+02:00
6,10.215.173.1,59104,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Zamknij,z-m-gateway.facebook.com,2772,4304,16,13,2025-08-23T17:51:58.228+02:00,2025-08-23T17:52:58.083+02:00
6,10.215.173.1,52590,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-23T17:51:58.297+02:00,2025-08-23T17:52:58.084+02:00
17,10.215.173.1,46572,185.60.217.3,443,10542,Instagram,com.instagram.android,UDP,Zamknij,,165,68,2,1,2025-08-23T17:52:00.805+02:00,2025-08-23T17:52:00.855+02:00
17,10.215.173.1,44373,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,gateway.instagram.com,67,115,1,1,2025-08-23T17:52:00.847+02:00,2025-08-23T17:52:00.864+02:00
17,10.215.173.1,45818,185.60.217.3,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,6032,4018,25,28,2025-08-23T17:52:00.850+02:00,2025-08-23T17:52:52.247+02:00
17,10.215.173.1,37434,185.60.217.63,443,10542,Instagram,com.instagram.android,UDP,Zamknij,,165,68,2,1,2025-08-23T17:52:31.714+02:00,2025-08-23T17:52:31.773+02:00
17,10.215.173.1,53638,10.215.173.2,53,10542,Instagram,com.instagram.android,DNS,Zamknij,i.instagram.com,61,106,1,1,2025-08-23T17:52:35.546+02:00,2025-08-23T17:52:35.579+02:00
17,10.215.173.1,50831,185.60.217.63,443,10542,Instagram,com.instagram.android,QUIC,Zamknij,,3472,5061,8,11,2025-08-23T17:52:35.556+02:00,2025-08-23T17:52:35.868+02:00
