IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,5908,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-24T14:09:27.203+02:00,2025-08-24T14:09:27.231+02:00
6,10.215.173.1,32816,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1360,7591,8,8,2025-08-24T14:09:27.239+02:00,2025-08-24T14:10:27.859+02:00
17,10.215.173.1,3438,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T14:09:28.547+02:00,2025-08-24T14:09:28.582+02:00
6,10.215.173.1,39726,34.253.26.62,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1408,7309,12,12,2025-08-24T14:09:28.598+02:00,2025-08-24T14:09:28.893+02:00
17,10.215.173.1,5295,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-24T14:09:28.602+02:00,2025-08-24T14:09:28.622+02:00
6,10.215.173.1,40656,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Zamknij,z-m-gateway.facebook.com,4232,5707,41,34,2025-08-24T14:09:28.626+02:00,2025-08-24T14:21:31.362+02:00
6,10.215.173.1,38620,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T14:09:28.849+02:00,2025-08-24T14:10:33.106+02:00
17,10.215.173.1,21002,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,connectivitycheck.gstatic.com,75,91,1,1,2025-08-24T14:09:29.081+02:00,2025-08-24T14:09:29.096+02:00
6,10.215.173.1,59456,142.250.203.131,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,connectivitycheck.gstatic.com,1236,3933,8,8,2025-08-24T14:09:29.102+02:00,2025-08-24T14:09:36.255+02:00
17,10.215.173.1,20921,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,android.clients.google.com,72,208,1,1,2025-08-24T14:09:37.425+02:00,2025-08-24T14:09:37.460+02:00
17,10.215.173.1,61662,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play-fe.googleapis.com,68,84,1,1,2025-08-24T14:09:37.467+02:00,2025-08-24T14:09:37.481+02:00
17,10.215.173.1,48317,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play.googleapis.com,65,129,1,1,2025-08-24T14:09:37.489+02:00,2025-08-24T14:09:37.507+02:00
17,10.215.173.1,37915,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,playstoregatewayadapter-pa.googleapis.com,87,183,1,1,2025-08-24T14:09:37.518+02:00,2025-08-24T14:09:37.534+02:00
17,10.215.173.1,27682,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,prod-lt-playstoregatewayadapter-pa.googleapis.com,95,239,1,1,2025-08-24T14:09:37.538+02:00,2025-08-24T14:09:37.551+02:00
17,10.215.173.1,12455,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,play-lh.googleusercontent.com,75,91,1,1,2025-08-24T14:09:37.554+02:00,2025-08-24T14:09:37.567+02:00
17,10.215.173.1,12343,10.215.173.2,53,10233,Sklep Google Play,com.android.vending,DNS,Zamknij,i.ytimg.com,57,217,1,1,2025-08-24T14:09:37.570+02:00,2025-08-24T14:09:37.582+02:00
17,10.215.173.1,36810,172.217.16.46,443,10233,Sklep Google Play,com.android.vending,QUIC,Zamknij,play-fe.googleapis.com,7254,8301,16,16,2025-08-24T14:09:37.636+02:00,2025-08-24T14:09:37.842+02:00
6,10.215.173.1,45386,172.217.16.46,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,play-fe.googleapis.com,2210,5713,8,7,2025-08-24T14:09:37.640+02:00,2025-08-24T14:10:38.110+02:00
6,10.215.173.1,40336,142.250.203.131,443,10233,Sklep Google Play,com.android.vending,HTTPS,Zamknij,connectivitycheck.gstatic.com,1135,3893,7,7,2025-08-24T14:09:38.091+02:00,2025-08-24T14:10:38.110+02:00
17,10.215.173.1,30912,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,graph.facebook.com,64,104,1,1,2025-08-24T14:09:43.451+02:00,2025-08-24T14:09:43.482+02:00
17,10.215.173.1,63125,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,api2.branch.io,60,124,1,1,2025-08-24T14:09:43.478+02:00,2025-08-24T14:09:43.493+02:00
6,10.215.173.1,45876,185.60.217.20,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,graph.facebook.com,1327,5611,8,8,2025-08-24T14:09:43.485+02:00,2025-08-24T14:10:43.123+02:00
6,10.215.173.1,36952,99.84.152.101,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,api2.branch.io,2443,5628,9,9,2025-08-24T14:09:43.495+02:00,2025-08-24T14:10:43.123+02:00
17,10.215.173.1,55374,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,cdn.branch.io,59,123,1,1,2025-08-24T14:09:43.769+02:00,2025-08-24T14:09:43.789+02:00
6,10.215.173.1,40742,108.138.26.87,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,cdn.branch.io,1136,5855,8,8,2025-08-24T14:09:43.798+02:00,2025-08-24T14:10:43.123+02:00
17,10.215.173.1,9695,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,spclient.wg.spotify.com,69,118,1,1,2025-08-24T14:09:44.857+02:00,2025-08-24T14:09:44.892+02:00
17,10.215.173.1,46870,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,apresolve.spotify.com,67,83,1,1,2025-08-24T14:09:44.877+02:00,2025-08-24T14:09:44.893+02:00
6,10.215.173.1,47344,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,2763,6758,15,13,2025-08-24T14:09:44.897+02:00,2025-08-24T14:10:48.324+02:00
6,10.215.173.1,47346,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,apresolve.spotify.com,2472,6514,18,17,2025-08-24T14:09:44.901+02:00,2025-08-24T14:10:48.325+02:00
6,10.215.173.1,47348,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,1183,4526,11,10,2025-08-24T14:09:44.904+02:00,2025-08-24T14:09:44.996+02:00
17,10.215.173.1,45079,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,login5.spotify.com,64,113,1,1,2025-08-24T14:09:45.026+02:00,2025-08-24T14:09:45.066+02:00
17,10.215.173.1,51477,239.255.255.250,1900,10304,Spotify,com.spotify.music,SSDP,Zamknij,,1530,0,10,0,2025-08-24T14:09:45.038+02:00,2025-08-24T14:10:01.599+02:00
17,10.215.173.1,5353,224.0.0.251,5353,10304,Spotify,com.spotify.music,MDNS,Zamknij,,730,0,10,0,2025-08-24T14:09:45.458+02:00,2025-08-24T14:10:03.158+02:00
17,10.215.173.1,45809,10.215.173.2,53,10304,Spotify,com.spotify.music,DNS,Zamknij,ap-gew4.spotify.com,65,81,1,1,2025-08-24T14:09:45.466+02:00,2025-08-24T14:09:45.481+02:00
6,10.215.173.1,52742,34.158.1.133,4070,10304,Spotify,com.spotify.music,TCP,Zamknij,ap-gew4.spotify.com,4252,13527,36,36,2025-08-24T14:09:45.484+02:00,2025-08-24T14:10:03.713+02:00
6,10.215.173.1,47358,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,171738,9418,64,63,2025-08-24T14:09:45.801+02:00,2025-08-24T14:11:47.951+02:00
6,10.215.173.1,47360,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.811+02:00,2025-08-24T14:09:45.961+02:00
6,10.215.173.1,47368,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1183,3717,11,6,2025-08-24T14:09:45.839+02:00,2025-08-24T14:09:45.961+02:00
6,10.215.173.1,47382,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Zamknij,spclient.wg.spotify.com,33188,143409,207,236,2025-08-24T14:09:45.844+02:00,2025-08-24T14:11:57.312+02:00
6,10.215.173.1,47388,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.851+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47402,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.859+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47406,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.865+02:00,2025-08-24T14:09:45.980+02:00
6,10.215.173.1,47420,35.186.224.24,443,10304,Spotify,com.spotify.music,HTTPS,Błąd,spclient.wg.spotify.com,1143,3677,10,5,2025-08-24T14:09:45.870+02:00,2025-08-24T14:09:45.980+02:00
