IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.52.216.201,42050,216.239.34.223,443,-1,Nieznany,unknown,UDP,Zamknij,,79,0,1,0,2025-08-24T16:40:34.897+02:00,2025-08-24T16:40:34.897+02:00
17,10.52.216.201,55961,213.158.221.143,443,-1,Nieznany,unknown,UDP,Zamknij,,80,0,1,0,2025-08-24T16:40:34.904+02:00,2025-08-24T16:40:34.904+02:00
17,10.52.216.201,49739,213.158.221.140,443,-1,Nieznany,unknown,UDP,Zamknij,,82,0,1,0,2025-08-24T16:40:34.908+02:00,2025-08-24T16:40:34.908+02:00
17,10.52.216.201,34339,213.158.221.141,443,-1,Nieznany,unknown,UDP,Zamknij,,80,0,1,0,2025-08-24T16:40:34.911+02:00,2025-08-24T16:40:34.911+02:00
17,10.52.216.201,53821,213.158.221.142,443,-1,Nieznany,unknown,UDP,Zamknij,,78,0,1,0,2025-08-24T16:40:34.931+02:00,2025-08-24T16:40:34.931+02:00
17,10.52.216.201,39337,213.158.221.144,443,-1,Nieznany,unknown,UDP,Zamknij,,78,0,1,0,2025-08-24T16:40:34.936+02:00,2025-08-24T16:40:34.936+02:00
17,10.52.216.201,48052,213.158.221.146,443,-1,Nieznany,unknown,UDP,Zamknij,,82,0,1,0,2025-08-24T16:40:34.940+02:00,2025-08-24T16:40:34.940+02:00
6,10.215.173.1,45160,185.60.217.13,443,10303,Messenger,com.facebook.orca,HTTPS,Zamknij,edge-mqtt.facebook.com,2401,926,15,10,2025-08-24T16:40:34.944+02:00,2025-08-24T16:40:48.574+02:00
17,10.215.173.1,48939,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-24T16:40:34.947+02:00,2025-08-24T16:40:35.005+02:00
17,10.215.173.1,8657,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,edge-mqtt.facebook.com,68,108,1,1,2025-08-24T16:40:34.987+02:00,2025-08-24T16:40:35.037+02:00
6,10.215.173.1,52036,142.250.147.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1407,7629,9,9,2025-08-24T16:40:35.009+02:00,2025-08-24T16:41:35.465+02:00
17,10.215.173.1,5782,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,chat-e2ee.facebook.com,68,113,1,1,2025-08-24T16:40:35.013+02:00,2025-08-24T16:40:35.038+02:00
6,10.215.173.1,55436,185.60.217.29,5222,10303,Messenger,com.facebook.orca,TCP,Zamknij,,2867,739,14,11,2025-08-24T16:40:35.036+02:00,2025-08-24T16:40:48.573+02:00
17,10.215.173.1,56795,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T16:40:35.938+02:00,2025-08-24T16:40:35.965+02:00
6,10.215.173.1,46826,34.253.26.62,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1368,7268,11,11,2025-08-24T16:40:35.979+02:00,2025-08-24T16:40:36.297+02:00
6,10.215.173.1,45280,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T16:40:36.247+02:00,2025-08-24T16:41:40.482+02:00
17,10.215.173.1,22003,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-24T16:40:36.387+02:00,2025-08-24T16:40:36.411+02:00
