IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,14364,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-24T13:42:24.313+02:00,2025-08-24T13:42:24.339+02:00
6,10.215.173.1,38170,142.251.9.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1445,7670,10,10,2025-08-24T13:42:24.356+02:00,2025-08-24T13:43:25.072+02:00
17,10.215.173.1,55955,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,b-graph.facebook.com,66,111,1,1,2025-08-24T13:42:24.488+02:00,2025-08-24T13:42:24.502+02:00
6,10.215.173.1,34502,185.60.217.35,443,10303,Messenger,com.facebook.orca,HTTPS,Zamknij,b-graph.facebook.com,3304,3243,11,10,2025-08-24T13:42:24.491+02:00,2025-08-24T13:42:28.438+02:00
6,10.215.173.1,32886,185.60.217.29,5222,10303,Messenger,com.facebook.orca,TCP,Zamknij,,2867,739,14,11,2025-08-24T13:42:25.417+02:00,2025-08-24T13:42:28.438+02:00
17,10.215.173.1,25866,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T13:42:25.469+02:00,2025-08-24T13:42:25.482+02:00
6,10.215.173.1,33074,54.76.143.8,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1327,7229,10,10,2025-08-24T13:42:25.489+02:00,2025-08-24T13:42:25.813+02:00
17,10.215.173.1,17974,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-24T13:42:25.746+02:00,2025-08-24T13:42:25.777+02:00
6,10.215.173.1,51150,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T13:42:25.755+02:00,2025-08-24T13:43:25.073+02:00
6,10.215.173.1,48780,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Błąd,z-m-gateway.facebook.com,3240,4777,24,19,2025-08-24T13:42:25.781+02:00,2025-08-24T13:46:52.167+02:00
17,10.215.173.1,52598,10.215.173.2,53,10138,Ekran startowy One UI,com.sec.android.app.launcher,DNS,Zamknij,www.google.com,60,76,1,1,2025-08-24T13:42:26.395+02:00,2025-08-24T13:42:26.429+02:00
6,10.215.173.1,44708,142.250.186.196,443,10138,Ekran startowy One UI,com.sec.android.app.launcher,HTTPS,Zamknij,www.google.com,4087,9986,27,27,2025-08-24T13:42:26.443+02:00,2025-08-24T13:43:35.336+02:00
6,10.215.173.1,44722,142.250.186.196,443,10138,Ekran startowy One UI,com.sec.android.app.launcher,HTTPS,Zamknij,www.google.com,1344,2370,9,9,2025-08-24T13:42:26.485+02:00,2025-08-24T13:43:30.207+02:00
17,10.52.216.201,63479,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,chat-e2ee.facebook.com,68,113,1,1,2025-08-24T13:42:27.264+02:00,2025-08-24T13:42:27.291+02:00
17,10.215.173.1,12883,10.215.173.2,53,10320,Samsung Music,com.sec.android.app.music,DNS,Zamknij,hp-ir.glb.samsungmilkradio.com,76,172,1,1,2025-08-24T13:42:28.148+02:00,2025-08-24T13:42:28.187+02:00
6,10.215.173.1,45938,52.78.41.242,443,10320,Samsung Music,com.sec.android.app.music,TLS,Zamknij,hp-ir.glb.samsungmilkradio.com,2459,8412,18,17,2025-08-24T13:42:28.193+02:00,2025-08-24T13:42:38.870+02:00
17,10.215.173.1,42902,10.215.173.2,53,10104,Konto Samsung,com.osp.app.signin,DNS,Zamknij,eu-auth2.samsungosp.com,69,128,1,1,2025-08-24T13:42:28.865+02:00,2025-08-24T13:42:28.899+02:00
6,10.215.173.1,43686,13.32.98.112,443,10104,Konto Samsung,com.osp.app.signin,HTTPS,Zamknij,eu-auth2.samsungosp.com,2231,6895,10,10,2025-08-24T13:42:28.901+02:00,2025-08-24T13:43:30.207+02:00
17,10.215.173.1,12878,10.215.173.2,53,10320,Samsung Music,com.sec.android.app.music,DNS,Zamknij,vas.samsungapps.com,65,264,1,1,2025-08-24T13:42:29.186+02:00,2025-08-24T13:42:29.208+02:00
6,10.215.173.1,39888,63.34.149.15,443,10320,Samsung Music,com.sec.android.app.music,HTTPS,Zamknij,vas.samsungapps.com,1444,6665,10,9,2025-08-24T13:42:29.211+02:00,2025-08-24T13:42:38.866+02:00
17,10.215.173.1,49951,10.215.173.2,53,10320,Samsung Music,com.sec.android.app.music,DNS,Zamknij,cdn-su.glb.samsungmilkradio.com,77,184,1,1,2025-08-24T13:42:29.725+02:00,2025-08-24T13:42:29.758+02:00
