IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,50850,10.215.173.2,53,10238,Usługi Google Play,com.google.android.gms,DNS,Zamknij,mtalk.google.com,62,107,1,1,2025-08-24T14:31:41.552+02:00,2025-08-24T14:31:41.581+02:00
6,10.215.173.1,35670,142.251.9.188,5228,10238,Usługi Google Play,com.google.android.gms,TLS,Zamknij,mtalk.google.com,1365,1184,8,8,2025-08-24T14:31:41.591+02:00,2025-08-24T14:32:42.181+02:00
17,10.215.173.1,10125,10.215.173.2,53,10248,Samsung Accessory Service,com.samsung.accessory,DNS,Zamknij,gear.sca.samsung.com,66,132,1,1,2025-08-24T14:31:41.627+02:00,2025-08-24T14:31:41.659+02:00
6,10.215.173.1,51164,52.214.10.134,443,10248,Samsung Accessory Service,com.samsung.accessory,HTTPS,Zamknij,gear.sca.samsung.com,1369,7269,11,11,2025-08-24T14:31:41.676+02:00,2025-08-24T14:31:42.018+02:00
6,10.215.173.1,57166,18.203.124.33,9090,10248,Samsung Accessory Service,com.samsung.accessory,TCP,Zamknij,,780,768,4,4,2025-08-24T14:31:41.960+02:00,2025-08-24T14:32:42.181+02:00
6,10.215.173.1,50008,185.60.217.29,5222,10303,Messenger,com.facebook.orca,TCP,Zamknij,,2892,779,14,12,2025-08-24T14:31:42.643+02:00,2025-08-24T14:32:52.460+02:00
17,10.215.173.1,45492,10.215.173.2,53,10062,Meta Services,com.facebook.services,DNS,Zamknij,z-m-gateway.facebook.com,70,114,1,1,2025-08-24T14:31:42.965+02:00,2025-08-24T14:31:42.991+02:00
6,10.215.173.1,33398,185.60.217.40,443,10062,Meta Services,com.facebook.services,HTTPS,Błąd,z-m-gateway.facebook.com,2929,4450,19,15,2025-08-24T14:31:42.996+02:00,2025-08-24T14:33:27.288+02:00
17,10.52.216.201,35531,10.215.173.2,53,10303,Messenger,com.facebook.orca,DNS,Zamknij,chat-e2ee.facebook.com,68,113,1,1,2025-08-24T14:31:44.465+02:00,2025-08-24T14:31:44.505+02:00
17,10.215.173.1,5096,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,firebase-settings.crashlytics.com,79,95,1,1,2025-08-24T14:31:51.052+02:00,2025-08-24T14:31:51.082+02:00
17,10.215.173.1,1927,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,firebaseinstallations.googleapis.com,82,242,1,1,2025-08-24T14:31:51.062+02:00,2025-08-24T14:31:51.083+02:00
6,10.215.173.1,34900,142.250.203.131,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,firebase-settings.crashlytics.com,2443,6455,11,10,2025-08-24T14:31:51.085+02:00,2025-08-24T14:32:06.413+02:00
6,10.215.173.1,39466,172.217.16.10,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,firebaseinstallations.googleapis.com,1777,5077,10,9,2025-08-24T14:31:51.087+02:00,2025-08-24T14:32:06.420+02:00
17,10.215.173.1,27620,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,fonts.gstatic.com,63,79,1,1,2025-08-24T14:31:51.451+02:00,2025-08-24T14:31:51.484+02:00
17,10.215.173.1,30873,10.215.173.2,53,10040,Voronoi,com.voronoi.organization.app,DNS,Zamknij,fonts.gstatic.com,63,91,1,1,2025-08-24T14:31:51.472+02:00,2025-08-24T14:31:51.490+02:00
6,10.215.173.1,44036,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,1130,27094,15,13,2025-08-24T14:31:51.498+02:00,2025-08-24T14:32:06.411+02:00
6,10.215.173.1,44046,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,1170,26767,16,15,2025-08-24T14:31:51.509+02:00,2025-08-24T14:32:06.411+02:00
6,10.215.173.1,44058,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,1250,27242,18,17,2025-08-24T14:31:51.514+02:00,2025-08-24T14:32:06.412+02:00
6,10.215.173.1,44062,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,3290,169374,69,68,2025-08-24T14:31:51.528+02:00,2025-08-24T14:32:06.411+02:00
6,10.215.173.1,44070,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,3090,157713,64,63,2025-08-24T14:31:51.536+02:00,2025-08-24T14:32:06.411+02:00
6,10.215.173.1,44072,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,3130,168705,65,64,2025-08-24T14:31:51.538+02:00,2025-08-24T14:32:06.410+02:00
6,10.215.173.1,44078,216.58.209.3,443,10040,Voronoi,com.voronoi.organization.app,HTTPS,Zamknij,fonts.gstatic.com,1530,58743,25,24,2025-08-24T14:31:51.542+02:00,2025-08-24T14:32:06.410+02:00
